a b c content serial module panel stage
93 1.13838 0.20749 0.17817 2 93 1 1 1
147 1.27402 0.34729 0.10004 1 147 1 1 1
158 1.20666 -0.03132 0.16188 3 158 1 1 1
236 1.49179 1.52422 0.18658 2 236 1 1 1
264 0.89657 1.49338 0.19509 1 264 1 1 1
17 0.51477 -1.84796 0.13564 3 17 2 1 1
54 1.30463 -0.16596 0.15073 2 54 2 1 1
76 1.10579 0.07243 0.16636 2 76 2 1 1
162 1.15175 0.4965 0.09064 1 162 2 1 1
265 1.16434 1.54005 0.23937 1 265 2 1 1
34 1.49252 -0.52602 0.19399 2 34 3 1 1
52 1.07235 -0.18562 0.08196 2 52 3 1 1
178 1.51543 0.12667 0.18331 3 178 3 1 1
284 1.80468 2.01305 0.18574 1 284 3 1 1
287 1.59193 2.30401 0.10469 1 287 3 1 1
110 1.32618 0.31777 0.08593 2 110 4 1 1
115 1.11062 0.37674 0.20046 2 115 4 1 1
124 1.04105 0.08671 0.16097 1 124 4 1 1
160 1.12345 0.05971 0.19227 3 160 4 1 1
268 1.34917 1.6974 0.13229 1 268 4 1 1
1 0.28212 -3.4292 0.188 1 1 5 1 1
6 0.37622 -2.50664 0.2354 1 6 5 1 1
129 1.38875 0.47849 0.11522 2 129 5 1 1
217 1.56915 0.48487 0.2063 3 217 5 1 1
233 1.4842 1.48036 0.16499 2 233 5 1 1
2 0.36385 -3.33036 0.1767 1 2 6 1 1
5 0.35074 -2.66541 0.2052 1 5 6 1 1
130 1.46518 0.49739 0.16306 2 130 6 1 1
239 1.66544 0.7285 0.0981 3 239 6 1 1
290 1.62764 2.26527 0.08149 2 290 6 1 1
3 0.36893 -2.93842 0.18308 1 3 7 1 1
154 1.73185 0.73005 0.14341 2 154 7 1 1
202 1.0169 0.83638 0.37559 1 202 7 1 1
234 1.2538 1.51119 0.24526 2 234 7 1 1
240 1.17548 0.81871 0.07185 3 240 7 1 1
16 1.05559 -0.90949 0.5 2 16 8 1 1
53 0.73571 -0.17581 0.06579 2 53 8 1 1
85 1.091 -0.19352 0.17694 1 85 8 1 1
106 0.9491 -0.01374 0.06349 1 106 8 1 1
120 0.97426 -0.40939 0.05283 3 120 8 1 1
30 0.94372 -0.77609 0.35953 2 30 9 1 1
63 0.90327 -0.54208 0.14408 1 63 9 1 1
64 1.02068 -0.49628 0.25138 1 64 9 1 1
90 1.0046 0.1092 0.08802 2 90 9 1 1
97 1.04963 -0.60418 0.09479 3 97 9 1 1
51 0.93593 -0.20202 0.17977 2 51 10 1 1
69 1.23326 -0.10127 0.10312 2 69 10 1 1
78 1.08948 -0.71943 0.17009 3 78 10 1 1
81 0.81498 -0.31511 0.15461 1 81 10 1 1
103 0.93621 -0.05029 0.14846 1 103 10 1 1
4 0.46429 -2.74341 0.20093 1 4 11 1 1
7 0.28227 -2.26857 0.26074 1 7 11 1 1
19 1.01096 -1.42941 0.18369 3 19 11 1 1
152 1.31899 0.70483 0.11459 2 152 11 1 1
173 1.4342 0.84885 0.11995 2 173 11 1 1
20 1.1064 -1.3969 0.19598 3 20 12 1 1
25 0.34901 -1.56045 0.20501 1 25 12 1 1
172 1.00382 0.82144 0.10494 2 172 12 1 1
201 1.3784 0.8036 0.19098 1 201 12 1 1
214 1.4777 1.34767 0.09881 2 214 12 1 1
89 1.21852 0.10318 0.05654 2 89 13 1 1
121 1.41811 0.06245 0.14843 1 121 13 1 1
179 1.16382 0.1503 0.34191 3 179 13 1 1
242 1.00433 1.29001 0.20413 1 242 13 1 1
251 1.34538 1.57022 0.15129 2 251 13 1 1
91 1.19155 0.11524 0.25589 2 91 14 1 1
114 1.07636 0.37194 0.02523 2 114 14 1 1
117 1.35127 -0.47087 0.09622 3 117 14 1 1
283 1.14926 1.99497 0.11357 1 283 14 1 1
288 0.74207 2.576 0.13225 1 288 14 1 1
27 0.73863 -1.25067 0.10454 1 27 15 1 1
32 1.17266 -0.76548 0.16692 2 32 15 1 1
42 0.87388 -0.99558 0.22001 1 42 15 1 1
49 1.09781 -0.25021 0.052 2 49 15 1 1
57 0.91251 -1.19655 0.08727 3 57 15 1 1
29 1.21828 -0.8066 0.21113 2 29 16 1 1
33 1.15438 -0.67169 0.34593 2 33 16 1 1
40 0.95676 -1.20698 0.11154 3 40 16 1 1
45 0.83992 -0.74371 0.11924 1 45 16 1 1
66 0.96256 -0.44516 0.12454 1 66 16 1 1
9 0.55474 -1.44975 0.34075 2 9 17 1 1
21 0.5117 -1.81496 0.16376 1 21 17 1 1
22 0.48935 -1.78184 0.18681 1 22 17 1 1
253 2.19054 1.70257 0.21894 2 253 17 1 1
257 1.22339 1.02213 0.10194 3 257 17 1 1
145 1.47703 0.32935 0.12674 1 145 18 1 1
168 1.35539 0.59898 0.27613 1 168 18 1 1
193 0.96237 1.0887 0.2303 2 193 18 1 1
256 1.93513 1.83794 0.18836 2 256 18 1 1
300 1.23619 2.08179 0.11321 3 300 18 1 1
65 1.07983 -0.46626 0.17154 1 65 19 1 1
70 0.8034 -0.09937 0.0924 2 70 19 1 1
92 1.17228 0.13248 0.18882 2 92 19 1 1
100 1.05442 -0.50597 0.08432 3 100 19 1 1
101 0.83206 -0.07859 0.17202 1 101 19 1 1
12 0.83806 -1.22873 0.13238 2 12 20 1 1
13 0.76663 -1.06104 0.1238 2 13 20 1 1
24 1.01832 -1.70256 0.32517 1 24 20 1 1
37 1.18722 -1.31787 0.13321 3 37 20 1 1
43 0.94676 -0.93393 0.06713 1 43 20 1 1
